method,variant,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
ablation_coverage_only,coverage_only,data/coresets/ablation_coverage_only_top5.json,0,0 5 37 22 2,2000,2000,2000,25,0.32755246758461,0.32606998085975647,0.729684054851532,0.05045493692159653,0.05404894798994064,0.614213228225708,0.20873503386974335,0.3624444901943207,0.26290926337242126,0.33416125178337097,0.5795912742614746,0.10451583564281464,0.13042135536670685,0.5203219652175903,0.13683539628982544,0.5049223899841309,0.3625205457210541,0.006355636287480593,0.00012064190377714112,0.004807822406291962,0.0018272241577506065,0.0015088272048160434,0.004078079015016556,0.0021921962033957243,0.029954664409160614,0.008967663161456585,9.582623897586018e-05,0.009959258139133453,0.004409142304211855,0.0012781821424141526,0.0026733719278126955,0.003053951309993863,0.04130391404032707
ablation_coverage_only,coverage_only,data/coresets/ablation_coverage_only_top5.json,1,0 5 37 22 2,2000,2000,2000,53,0.33277836441993713,0.3310394585132599,0.8720239400863647,0.029904885217547417,0.043283332139253616,0.5407841801643372,0.22634673118591309,0.3815062344074249,0.22342681884765625,0.33768945932388306,0.6270682215690613,0.08249072730541229,0.08404672890901566,0.5795868635177612,0.14338475465774536,0.45377132296562195,0.39347755908966064,0.0054244897328317165,0.00014417509373743087,0.0028496230952441692,0.0014632758684456348,0.0013284471351653337,0.004422164987772703,0.0023074878845363855,0.025456253439188004,0.008943748660385609,0.00010367583308834583,0.007860491052269936,0.0028413538821041584,0.001423766603693366,0.0028013247065246105,0.00274457735940814,0.0448310449719429
ablation_coverage_only,coverage_only,data/coresets/ablation_coverage_only_top5.json,2,0 5 37 22 2,2000,2000,2000,34,0.3188686668872833,0.31730756163597107,0.7613649368286133,0.04473389312624931,0.039708882570266724,0.5797296166419983,0.2144324630498886,0.35871198773384094,0.22247128188610077,0.31432750821113586,0.5565561652183533,0.10351769626140594,0.12529297173023224,0.5500626564025879,0.13867227733135223,0.43266165256500244,0.29352930188179016,0.005551639012992382,0.00012587949458975345,0.004262673668563366,0.0013424316421151161,0.0014241161989048123,0.004189387895166874,0.002169619780033827,0.025347363203763962,0.00775896105915308,9.201779175782576e-05,0.009864145889878273,0.004235768690705299,0.0013512402074411511,0.002709259744733572,0.0026168960612267256,0.033443402498960495
ablation_coverage_only,coverage_only,data/coresets/ablation_coverage_only_top5.json,3,0 5 37 22 2,2000,2000,2000,49,0.3289734572172165,0.3277146816253662,0.8656612038612366,0.03188304603099823,0.04317965731024742,0.5434339046478271,0.20829936861991882,0.3734816014766693,0.22806400060653687,0.30956417322158813,0.6487042903900146,0.09096220135688782,0.1033104807138443,0.5084208846092224,0.13578850030899048,0.37546226382255554,0.3043006956577301,0.005469868425279856,0.00014312354323919863,0.0030381190590560436,0.0014597675763070583,0.0013349574292078614,0.004069569520652294,0.002258953172713518,0.025984585285186768,0.007587287575006485,0.00010725294123403728,0.008667734451591969,0.0034926035441458225,0.0012489448999986053,0.002652916358783841,0.002270934171974659,0.0346706248819828
ablation_coverage_only,coverage_only,data/coresets/ablation_coverage_only_top5.json,4,0 5 37 22 2,2000,2000,2000,24,0.3144541382789612,0.3128800392150879,0.6681967973709106,0.04443783685564995,0.055762216448783875,0.6052733659744263,0.2000986486673355,0.3600049316883087,0.256386399269104,0.3287196159362793,0.5517898201942444,0.07695935666561127,0.10839968174695969,0.6139477491378784,0.11968129873275757,0.5158635377883911,0.3143956661224365,0.006145032588392496,0.00011047566658817232,0.0042344494722783566,0.001885148580186069,0.0014868677826598287,0.003909353632479906,0.0021774410270154476,0.029211491346359253,0.007696669083088636,9.122963092522696e-05,0.007333411369472742,0.003664654679596424,0.001508172950707376,0.002338227117434144,0.0031201299279928207,0.0358208604156971
ablation_pc_ras_full,pc_ras_full,data/coresets/ablation_pc_ras_full_top5.json,0,36 20 6 30 18,2000,2000,2000,36,0.32519569247961044,0.32309967279434204,0.8971812725067139,0.03172018378973007,0.03821617364883423,0.4913809597492218,0.17737704515457153,0.32694774866104126,0.29887428879737854,0.35632866621017456,1.0545614957809448,0.07109398394823074,0.11000692844390869,0.41797423362731934,0.13386325538158417,0.3808818459510803,0.3259188234806061,0.0053651295602321625,9.875166142592207e-05,0.0027059621643275023,0.0009606656385585666,0.0014204366598278284,0.004126070532947779,0.0023773666471242905,0.02586665377020836,0.006320728920400143,0.00011607434862526134,0.006064832676202059,0.002765313722193241,0.0012082394678145647,0.0031138702761381865,0.0027695531025528908,0.028207214549183846
ablation_pc_ras_full,pc_ras_full,data/coresets/ablation_pc_ras_full_top5.json,1,36 20 6 30 18,2000,2000,2000,41,0.326120063662529,0.32395580410957336,0.9445949196815491,0.025419184938073158,0.03943203017115593,0.5046434998512268,0.16846029460430145,0.30653950572013855,0.27860137820243835,0.33998551964759827,1.0505881309509277,0.06156985089182854,0.10557291656732559,0.4065112769603729,0.10892844945192337,0.32281288504600525,0.3239149749279022,0.004997439682483673,0.0001039704293361865,0.0021684381645172834,0.000991228618659079,0.001458778977394104,0.003918655216693878,0.002228977857157588,0.024112027138471603,0.006015975493937731,0.00011563718726392835,0.005252349656075239,0.0026538518723100424,0.0011751053389161825,0.002533844904974103,0.002347307512536645,0.028033731505274773
ablation_pc_ras_full,pc_ras_full,data/coresets/ablation_pc_ras_full_top5.json,2,36 20 6 30 18,2000,2000,2000,25,0.3250782787799835,0.3236525356769562,0.8951668739318848,0.047639500349760056,0.0627807229757309,0.43239450454711914,0.17674832046031952,0.28249862790107727,0.36833927035331726,0.3836950957775116,1.0556761026382446,0.08133143931627274,0.15048770606517792,0.41754603385925293,0.1202409416437149,0.4058806598186493,0.45470285415649414,0.006433536298573017,9.85300139291212e-05,0.004063996486365795,0.0015781600959599018,0.001249925117008388,0.004111442249268293,0.0020541634876281023,0.03187853842973709,0.008163652382791042,0.00011619709403021261,0.00693815853446722,0.003782904241234064,0.0012070018565282226,0.002796991029754281,0.0029513242188841105,0.03935299068689346
ablation_pc_ras_full,pc_ras_full,data/coresets/ablation_pc_ras_full_top5.json,3,36 20 6 30 18,2000,2000,2000,152,0.2899347022175789,0.28776994347572327,0.9059714674949646,0.022190332412719727,0.04123759642243385,0.3873891532421112,0.15204736590385437,0.2762681841850281,0.22928549349308014,0.33637914061546326,1.080307126045227,0.04506963491439819,0.08161162585020065,0.5004358887672424,0.10150318592786789,0.34367701411247253,0.20204977691173553,0.004219825379550457,9.971921099349856e-05,0.0018929976504296064,0.001036616857163608,0.001119827851653099,0.0035368571989238262,0.0020088599994778633,0.019843896850943565,0.004258389119058847,0.00011890815949300304,0.0038447719998657703,0.00205152272246778,0.0014466148568317294,0.0023611243814229965,0.002499020891264081,0.017486760392785072
ablation_pc_ras_full,pc_ras_full,data/coresets/ablation_pc_ras_full_top5.json,4,36 20 6 30 18,2000,2000,2000,133,0.2840394079685211,0.281599223613739,0.8281623721122742,0.019205579534173012,0.03410075977444649,0.40562596917152405,0.16276207566261292,0.27077651023864746,0.25056135654449463,0.3309491276741028,1.0552161931991577,0.040710948407649994,0.0807289332151413,0.48560479283332825,0.10830443352460861,0.318097859621048,0.22798077762126923,0.004457079339772463,9.11547540454194e-05,0.00163837312720716,0.0008572126971557736,0.0011725465301424265,0.0037861063610762358,0.001968930009752512,0.02168523333966732,0.004512212239205837,0.0001161463515018113,0.003472938435152173,0.0020293339621275663,0.0014037395594641566,0.0025193297769874334,0.002313022967427969,0.019730975851416588
