method,budget_percent,budget_episodes,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
Random,10,4,data/coresets/budget_random_10pct_seed0.json,0,2 16 24 26,1600,2000,2000,39,0.5793516635894775,0.5817365646362305,2.548323154449463,0.029326552525162697,0.03286033123731613,0.5740744471549988,0.17765387892723083,0.37411588430404663,0.3358018100261688,0.5986183285713196,2.172057628631592,0.07575458288192749,0.13856925070285797,0.7198348045349121,0.07123052328824997,0.6412184834480286,0.37166285514831543,0.006220992188900709,0.00015946450002957135,0.0029513223562389612,0.001018526148982346,0.0014346190728247166,0.004322669934481382,0.0019109169952571392,0.031749427318573,0.007714561652392149,0.0001359188463538885,0.007623669691383839,0.004295044112950563,0.001798874931409955,0.0017331786220893264,0.0032752365805208683,0.035140007734298706
Random,10,4,data/coresets/budget_random_10pct_seed1.json,1,4 8 16 36,1600,2000,2000,26,0.3853845000267029,0.3854711949825287,1.017909288406372,0.04659101366996765,0.05975393205881119,0.7851729989051819,0.19855909049510956,0.2509884238243103,0.33932384848594666,0.33020663261413574,0.8081861734390259,0.06628326326608658,0.12986567616462708,0.5516955852508545,0.09453202784061432,0.2667168974876404,0.39416664838790894,0.0064196460880339146,0.000145642101415433,0.0038064324762672186,0.00145314063411206,0.0017489707097411156,0.0042487140744924545,0.002328860107809305,0.031205762177705765,0.007237848825752735,0.00011563501902855933,0.00541526498273015,0.0031581667717546225,0.0012288998113945127,0.0020227651111781597,0.0024747971910983324,0.03624941408634186
Random,10,4,data/coresets/budget_random_10pct_seed2.json,2,3 5 10 23,1600,2000,2000,41,1.4602308571338654,1.4478540420532227,0.9700842499732971,0.05205204337835312,0.06878145784139633,8.201292037963867,0.2995123863220215,0.3113473653793335,0.23190876841545105,0.7647591829299927,1.2295809984207153,0.08072715997695923,0.08993805199861526,3.27256441116333,0.15152843296527863,0.2252729833126068,0.30370214581489563,0.005963961128145456,0.00012169926048954949,0.004219223279505968,0.0019690324552357197,0.003385595977306366,0.0048403325490653515,0.0032699531875550747,0.0239418875426054,0.006684553809463978,0.00015425385208800435,0.006543559022247791,0.0025746882893145084,0.0013509546406567097,0.0024488051421940327,0.002365946536883712,0.0313536711037159
Random,10,4,data/coresets/budget_random_10pct_seed3.json,3,8 15 34 37,1600,2000,2000,39,0.37574194371700287,0.37494733929634094,1.089329719543457,0.04303640499711037,0.048476237803697586,0.7512118816375732,0.17515715956687927,0.27758073806762695,0.23983941972255707,0.3089280426502228,0.8431119322776794,0.05695762485265732,0.11082211136817932,0.5014002919197083,0.08575020730495453,0.2809202969074249,0.28353384137153625,0.005838870070874691,0.00010147943976335227,0.0038120553363114595,0.0014130232157185674,0.0016172063769772649,0.004081432707607746,0.00203663669526577,0.02781025692820549,0.006624212022870779,7.854236173443496e-05,0.00504515552893281,0.003230329602956772,0.0010794121772050858,0.001998110208660364,0.002061134669929743,0.03287680074572563
Random,10,4,data/coresets/budget_random_10pct_seed4.json,4,6 15 19 25,1600,2000,2000,31,0.4543960690498352,0.45576295256614685,1.5800238847732544,0.03585555776953697,0.05727946758270264,0.8127099871635437,0.15489427745342255,0.22794586420059204,0.32163164019584656,0.38972949981689453,1.211825966835022,0.08379893749952316,0.10464281588792801,0.5787575244903564,0.1646164357662201,0.22407032549381256,0.3603944182395935,0.0058311522006988525,0.00013135009794496,0.0028288287576287985,0.0013453668216243386,0.0015091599198058248,0.004031125456094742,0.002050852170214057,0.028921382501721382,0.006993089336901903,0.0001007410028250888,0.006611310876905918,0.0024578256998211145,0.0010747237829491496,0.004284138325601816,0.002015988575294614,0.032406896352767944
PC-RAS,10,4,data/coresets/budget_pc_ras_10pct_top4.json,0,36 20 6 30,1600,2000,2000,41,0.36705513298511505,0.3659047782421112,1.101280689239502,0.037904009222984314,0.03823089972138405,0.5808244943618774,0.22693485021591187,0.26294466853141785,0.3132137954235077,0.3566335141658783,1.115360140800476,0.09608523547649384,0.10410099476575851,0.41315099596977234,0.15574604272842407,0.27780017256736755,0.3341914415359497,0.005986115895211697,0.00012423057341948152,0.0031164945103228092,0.0009675364126451313,0.0014733728021383286,0.005469484254717827,0.002144227270036936,0.02860746718943119,0.0068930285051465034,0.00012581863848026842,0.007900192402303219,0.0026345655787736177,0.0010480349883437157,0.003753731492906809,0.0022653676569461823,0.03052349016070366
PC-RAS,10,4,data/coresets/budget_pc_ras_10pct_top4.json,1,36 20 6 30,1600,2000,2000,38,0.3659077286720276,0.36542534828186035,1.1706490516662598,0.028770601376891136,0.03760499879717827,0.5583325028419495,0.21214142441749573,0.2615964412689209,0.2888822853565216,0.3657659590244293,1.1777089834213257,0.0688752606511116,0.10823594778776169,0.4484807252883911,0.13100697100162506,0.31026792526245117,0.315785676240921,0.005499560851603746,0.0001320553565165028,0.0023655383847653866,0.0009516977006569505,0.001416316838003695,0.005112954881042242,0.00213323044590652,0.02638513408601284,0.006314661353826523,0.00013285197201184928,0.005662970710545778,0.0027392038609832525,0.0011376581387594342,0.003157472237944603,0.002530128927901387,0.028842343017458916
PC-RAS,10,4,data/coresets/budget_pc_ras_10pct_top4.json,2,36 20 6 30,1600,2000,2000,39,0.3714323341846466,0.3708406984806061,1.1635507345199585,0.03476017341017723,0.03753776103258133,0.5767121911048889,0.20294198393821716,0.26446154713630676,0.3159205913543701,0.3687002956867218,1.2178349494934082,0.07722633332014084,0.12025200575590134,0.4435482621192932,0.1412183791399002,0.2829662561416626,0.2978557348251343,0.0059006731025874615,0.0001312547829002142,0.0028580008074641228,0.0009499965235590935,0.0014629416400566697,0.004891225602477789,0.0021565963979810476,0.028854696080088615,0.00622446509078145,0.00013737825793214142,0.006349600851535797,0.003043309785425663,0.0011251452378928661,0.0034035907592624426,0.002307494170963764,0.027204738929867744
PC-RAS,10,4,data/coresets/budget_pc_ras_10pct_top4.json,3,36 20 6 30,1600,2000,2000,46,0.3640580475330353,0.3630416691303253,1.1074062585830688,0.026826856657862663,0.040145110338926315,0.56797194480896,0.21557433903217316,0.2672012746334076,0.3161659240722656,0.35762667655944824,1.1194226741790771,0.06389692425727844,0.12966172397136688,0.4385296702384949,0.14013555645942688,0.27461063861846924,0.33712974190711975,0.005862742196768522,0.00012492154201027006,0.002205723198130727,0.0010159837547689676,0.0014407698763534427,0.005195688921958208,0.0021789378952234983,0.028877168893814087,0.006597501691430807,0.00012627686373889446,0.005253648851066828,0.003281442215666175,0.0011124138254672289,0.003377496497705579,0.002239363268017769,0.03079187124967575
PC-RAS,10,4,data/coresets/budget_pc_ras_10pct_top4.json,4,36 20 6 30,1600,2000,2000,77,0.351678267121315,0.35064074397087097,1.1572195291519165,0.021744390949606895,0.03575814515352249,0.5071017146110535,0.1848045438528061,0.2648983299732208,0.2829585671424866,0.3450334072113037,1.1771703958511353,0.052689820528030396,0.10771159827709198,0.4676245152950287,0.10469748079776764,0.2561086118221283,0.24923156201839447,0.005224006716161966,0.00013054053124506027,0.0017878375947475433,0.0009049589280039072,0.0012863596202805638,0.004454087931662798,0.0021601549815386534,0.02584410458803177,0.005107519682496786,0.00013279127597343177,0.0043321880511939526,0.002725940430536866,0.0011862190440297127,0.002523376839235425,0.0020884843543171883,0.022763637825846672
